messagetype,messagevalue,username
0,ANIMALBREED,Domestic Shorthair Mix,ZarinsNewUsername
0,ANIMALBREED,German Shepherd/Border Collie,ZarinsNewUsername
0,ANIMALBREED,Pit Bull/Cardigan Welsh Corgi,ZarinsNewUsername
0,ANIMALBREED,Mastiff Mix,ZarinsNewUsername
0,ANIMALCOLOR,Tan,ZarinsNewUsername
0,ANIMALAGE,3 months,ZarinsNewUsername
0,ANIMALNAME,Wisky,ZarinsNewUsername
0,ANIMALNAME,Bob,ya boiiiii
0,ANIMALBREED,Cairn Terrier,ya boiiiii
0,ANIMALCOLOR,Black/Tan,ya boiiiii
0,ANIMALAGE,4 years,ya boiiiii
0,ANIMALAGE,2 months,ya boiiiii
0,ANIMALAGE,2 weeks,ya boiiiii
0,ANIMALAGE,4 years,ya boiiiii
0,ANIMALAGE,3 months,ya boiiiii
0,ANIMALAGE,4 years,ya boiiiii
0,ANIMALAGE,,ya boiiiii
0,ANIMALAGE,1 month,ya boiiiii
0,ANIMALAGE,1 month,ya boiiiii
0,ANIMALAGE,1 month,ya boiiiii
0,ANIMALAGE,1 month,ya boiiiii
0,ANIMALAGE,1 month,ya boiiiii
0,ANIMALAGE,1 month,ya boiiiii
0,ANIMALAGE,10 months,ya boiiiii
0,ANIMALAGE,10 months,ya boiiiii
0,ANIMALAGE,5 months,ya boiiiii
0,ANIMALBREED,Shetland Sheepdog Mix,Zarin
0,ANIMALBREED,Shetland Sheepdog Mix,Zarin
0,ANIMALBREED,Shetland Sheepdog Mix,Zarin
0,ANIMALBREED,Shetland Sheepdog Mix,Zarin
0,ANIMALBREED,Lhasa Apso/Miniature Poodle,Zarin
0,ANIMALBREED,Pit Bull Mix,Zarin
0,ANIMALBREED,Pit Bull Mix,Zarin
0,ANIMALCOLOR,Brown/White,Zarin
0,ANIMALCOLOR,Brown/White,Zarin
0,ANIMALCOLOR,Brown/White,Zarin
0,ANIMALCOLOR,Brown/White,Zarin
0,ANIMALCOLOR,Blue/White,Zarin
0,ANIMALCOLOR,Blue/White,Zarin
0,ANIMALCOLOR,Tan,Zarin
0,ANIMALCOLOR,Tan,Zarin
0,ANIMALCOLOR,Tan,Zarin
0,ANIMALCOLOR,Tan,Zarin
0,ANIMALCOLOR,Tan,Zarin
0,ANIMALCOLOR,Tan,Zarin
0,ANIMALCOLOR,Brown Tabby,Zarin
0,ANIMALCOLOR,White,Zarin
0,ANIMALAGE,2 years,Zarin
0,ANIMALAGE,2 years,Zarin
0,ANIMALAGE,2 years,Zarin
0,ANIMALAGE,5 months,Zarin
0,ANIMALAGE,5 months,Zarin
0,ANIMALAGE,4 years,Zarin
0,ANIMALAGE,2 months,Zarin
0,ANIMALAGE,2 months,Zarin
0,ANIMALAGE,2 months,Zarin
0,ANIMALAGE,2 months,Zarin
0,ANIMALAGE,3 weeks,Zarin
0,ANIMALAGE,1 month,Zarin
0,ANIMALAGE,10 months,Zarin
0,ANIMALNAME,Dallas,Zarin
0,ANIMALNAME,Dallas,Zarin
0,ANIMALNAME,Dallas,Zarin
0,ANIMALNAME,Dallas,Zarin
0,ANIMALNAME,Blacky,Zarin
0,ANIMALNAME,Blacky,Zarin
0,ANIMALNAME,Pedro,Zarin
0,ANIMALNAME,Robbe,Zarin
0,ANIMALNAME,Robbe,Zarin
0,ANIMALNAME,Robbe,Zarin
